ticker,date,open,high,low,close
CVNA,2018-03-26,21.27,22.44,21.01,22.33
CVNA,2018-03-27,22.41,23.2,21.72,22.27
CVNA,2018-03-28,22.25,22.78,21.89,22.61
CVNA,2018-03-29,22.74,23.5,22.68,22.93
CVNA,2018-04-02,22.89,23.48,21.764,22.59
CVNA,2018-04-03,22.79,22.91,22.365,22.71
CVNA,2018-04-04,22.33,22.71,21.8,22.38
CVNA,2018-04-05,22.62,23.48,22.29,23.32
CVNA,2018-04-06,23.02,23.588,22.47,22.91
CVNA,2018-04-09,23.13,25.2248,23.05,23.74
CVNA,2018-04-10,24.05,24.58,23.3094,23.98
CVNA,2018-04-11,23.9,24.1596,22.31,22.68
CVNA,2018-04-12,22.76,23.74,22.644,23.22
CVNA,2018-04-13,23.42,23.83,23.01,23.4
CVNA,2018-04-16,23.74,27.17,23.44,27.03
CVNA,2018-04-17,27.26,31.18,27.26,30.1
CVNA,2018-04-18,30.34,31.35,29.1,29.78
CVNA,2018-04-19,29.55,30.83,29.501,29.69
CVNA,2018-04-20,29.76,30.12,29.0,29.37
CVNA,2018-04-23,29.53,30.8625,29.401,29.96
CVNA,2018-04-24,28.12,29.62,27.82,28.08
CVNA,2018-04-25,27.85,29.5,27.7,29.26
CVNA,2018-04-26,27.05,28.0,26.76,27.48
CVNA,2018-04-27,27.62,27.958,27.13,27.45
CVNA,2018-04-30,27.72,27.7368,25.95,26.21
CVNA,2018-05-01,26.28,27.25,25.72,26.99
CVNA,2018-05-02,27.08,27.38,26.23,26.7
CVNA,2018-05-03,26.55,27.48,25.95,26.18
CVNA,2018-05-04,26.21,26.7766,25.35,25.47
CVNA,2018-05-07,25.5,25.82,24.76,25.24
CVNA,2018-05-08,25.0,25.76,24.87,24.97
CVNA,2018-05-09,24.91,25.26,24.0301,24.76
CVNA,2018-05-10,29.0,29.0,26.75,26.78
CVNA,2018-05-11,26.85,27.85,26.09,27.5
CVNA,2018-05-14,27.69,28.5,27.15,27.18
CVNA,2018-05-15,27.07,27.07,25.0501,26.47
CVNA,2018-05-16,26.3,27.72,26.12,26.77
CVNA,2018-05-17,26.63,27.22,26.15,26.78
CVNA,2018-05-18,26.72,27.42,26.41,26.76
CVNA,2018-05-21,27.0,27.299,26.28,26.72
CVNA,2018-05-22,26.95,27.1699,26.52,26.71
CVNA,2018-05-23,26.54,27.64,26.12,26.18
CVNA,2018-05-24,26.18,26.5,25.0,25.76
CVNA,2018-05-25,25.82,26.42,25.0,25.1
CVNA,2018-05-29,24.98,27.64,24.3617,27.11
CVNA,2018-05-30,27.42,28.6665,26.849,28.31
CVNA,2018-05-31,28.72,29.22,28.19,28.85
CVNA,2018-06-01,28.89,29.74,27.51,28.17
CVNA,2018-06-04,28.16,29.77,28.055,29.73
CVNA,2018-06-05,29.67,31.94,29.15,31.06
CVNA,2018-06-06,31.16,33.2899,31.1,32.91
CVNA,2018-06-07,32.93,35.4299,32.92,35.35
CVNA,2018-06-08,35.0,36.55,34.26,36.04
CVNA,2018-06-11,36.18,37.19,35.94,36.76
CVNA,2018-06-12,37.15,39.48,36.9213,38.93
CVNA,2018-06-13,38.93,39.48,35.88,37.09
CVNA,2018-06-14,37.37,41.13,37.3227,40.39
CVNA,2018-06-15,40.0,44.12,39.66,42.82
CVNA,2018-06-18,42.32,45.21,41.31,43.19
CVNA,2018-06-19,42.39,44.31,42.1,43.68
CVNA,2018-06-20,44.34,44.34,38.71,38.72
CVNA,2018-06-21,39.0,39.84,36.5,37.93
CVNA,2018-06-22,38.45,41.13,38.32,40.36
CVNA,2018-06-25,40.0,40.2762,38.0,39.68
CVNA,2018-06-26,39.85,40.77,39.23,40.5
CVNA,2018-06-27,40.59,43.85,40.55,41.47
CVNA,2018-06-28,41.11,42.3867,40.73,41.79
CVNA,2018-06-29,42.16,43.33,41.28,41.6
CVNA,2018-07-02,41.26,42.81,39.81,42.65
CVNA,2018-07-03,42.64,43.17,41.345,41.73
CVNA,2018-07-05,42.09,45.5,41.44,44.98
CVNA,2018-07-06,44.9,47.36,44.9,47.17
CVNA,2018-07-09,48.74,49.87,43.9,44.82
CVNA,2018-07-10,44.65,44.89,43.5,44.14
CVNA,2018-07-11,43.4,44.63,43.385,43.97
CVNA,2018-07-12,44.32,46.01,43.74,45.56
CVNA,2018-07-13,45.92,46.4152,43.8286,44.1
CVNA,2018-07-16,44.19,45.4,43.4525,45.17
CVNA,2018-07-17,45.13,46.04,44.3,45.9
CVNA,2018-07-18,45.44,47.08,44.53,46.83
CVNA,2018-07-19,46.58,48.0,45.09,45.34
CVNA,2018-07-20,45.25,46.32,44.12,44.19
CVNA,2018-07-23,44.0,44.4492,42.74,43.36
CVNA,2018-07-24,43.93,44.89,42.975,43.83
CVNA,2018-07-25,43.69,45.71,43.311,45.5
CVNA,2018-07-26,45.08,45.77,44.9,45.34
CVNA,2018-07-27,45.11,45.19,43.51,44.21
CVNA,2018-07-30,44.12,44.12,40.13,41.12
CVNA,2018-07-31,41.17,43.39,40.2,43.0
CVNA,2018-08-01,42.7,44.15,42.46,43.74
CVNA,2018-08-02,43.83,44.42,43.1,43.42
CVNA,2018-08-03,43.75,45.88,43.25,45.08
CVNA,2018-08-06,45.25,47.47,44.77,46.9
CVNA,2018-08-07,47.32,47.6,46.14,47.15
CVNA,2018-08-08,47.12,49.2,46.63,47.06
CVNA,2018-08-09,53.23,56.1,48.7,51.11
CVNA,2018-08-10,50.81,55.9431,50.3666,54.06
CVNA,2018-08-13,54.06,55.39,53.2966,53.64
CVNA,2018-08-14,53.85,55.96,53.3,54.8
CVNA,2018-08-15,53.93,54.61,52.4,53.34
CVNA,2018-08-16,53.98,54.62,52.91,54.38
CVNA,2018-08-17,54.67,55.5,53.35,55.42
CVNA,2018-08-20,55.86,58.73,55.79,58.53
CVNA,2018-08-21,58.85,60.45,57.78,58.38
CVNA,2018-08-22,58.0,59.19,57.06,57.97
CVNA,2018-08-23,58.09,59.05,56.08,57.64
CVNA,2018-08-24,57.68,60.8593,57.68,60.08
CVNA,2018-08-27,60.3,62.89,60.24,62.39
CVNA,2018-08-28,63.0,63.4325,62.04,63.02
CVNA,2018-08-29,63.14,63.75,61.5,63.04
CVNA,2018-08-30,62.86,63.88,61.85,62.09
CVNA,2018-08-31,61.84,64.8,61.5,64.74
CVNA,2018-09-04,64.96,67.54,63.561,67.34
CVNA,2018-09-05,66.86,67.9801,60.58,62.15
CVNA,2018-09-06,62.63,63.5,58.01,58.96
CVNA,2018-09-07,58.26,63.34,57.24,61.5
CVNA,2018-09-10,62.26,68.34,61.891,68.28
CVNA,2018-09-11,68.69,71.24,65.92,70.82
CVNA,2018-09-12,70.47,72.59,67.0,67.43
CVNA,2018-09-13,66.29,66.72,59.7,64.01
CVNA,2018-09-14,62.49,63.84,61.36,63.43
CVNA,2018-09-17,63.49,63.49,58.57,60.27
CVNA,2018-09-18,60.12,62.39,58.551,59.27
CVNA,2018-09-19,60.0,60.91,58.5296,58.95
CVNA,2018-09-20,59.0,61.749,58.5669,60.05
CVNA,2018-09-21,60.0,60.49,58.58,60.01
CVNA,2018-09-24,59.5,59.6,56.87,59.54
CVNA,2018-09-25,59.72,60.96,58.86,59.33
CVNA,2018-09-26,59.52,63.95,59.52,61.15
CVNA,2018-09-27,61.57,61.98,59.0,60.0
CVNA,2018-09-28,59.73,60.85,58.76,59.09
CVNA,2018-10-01,59.81,60.49,57.1,57.47
CVNA,2018-10-02,58.23,59.75,52.37,54.46
CVNA,2018-10-03,54.46,55.48,52.93,54.55
CVNA,2018-10-04,54.49,55.01,51.55,53.31
CVNA,2018-10-05,52.64,54.42,51.13,53.87
CVNA,2018-10-08,53.22,53.68,50.7801,52.66
CVNA,2018-10-09,52.35,54.79,49.58,51.24
CVNA,2018-10-10,51.24,51.24,46.385,46.57
CVNA,2018-10-11,46.0,47.76,43.85,43.9
CVNA,2018-10-12,45.43,48.35,45.03,46.9
CVNA,2018-10-15,46.58,46.58,42.71,43.65
CVNA,2018-10-16,43.99,45.88,43.49,45.65
CVNA,2018-10-17,45.46,45.5522,43.745,44.83
CVNA,2018-10-18,44.72,44.72,40.64,42.76
CVNA,2018-10-19,43.0,44.115,40.05,40.17
CVNA,2018-10-22,40.48,42.08,40.48,41.59
CVNA,2018-10-23,40.51,42.55,39.1158,41.63
CVNA,2018-10-24,41.88,42.45,38.12,38.54
CVNA,2018-10-25,38.92,41.27,38.92,40.46
CVNA,2018-10-26,39.22,40.39,38.25,38.72
CVNA,2018-10-29,39.33,40.43,37.01,37.75
CVNA,2018-10-30,36.81,39.11,35.01,37.68
CVNA,2018-10-31,39.11,39.96,38.37,38.75
CVNA,2018-11-01,39.2,45.02,39.1685,44.39
CVNA,2018-11-02,44.55,46.76,43.98,46.33
CVNA,2018-11-05,46.16,46.69,43.26,46.44
CVNA,2018-11-06,46.25,46.25,44.335,45.05
CVNA,2018-11-07,45.77,46.57,42.81,46.17
CVNA,2018-11-08,54.89,54.98,49.24,51.47
CVNA,2018-11-09,49.94,50.9272,47.57,48.9
CVNA,2018-11-12,48.29,49.2,43.6212,44.01
CVNA,2018-11-13,44.95,46.15,43.0,45.53
CVNA,2018-11-14,45.99,48.19,44.97,45.25
CVNA,2018-11-15,45.67,48.6892,43.78,47.85
CVNA,2018-11-16,46.81,48.94,44.58,46.04
CVNA,2018-11-19,45.61,46.03,41.36,42.38
CVNA,2018-11-20,40.81,42.6609,39.805,41.22
CVNA,2018-11-21,41.77,43.86,41.0,41.68
CVNA,2018-11-23,41.46,44.29,41.33,42.66
CVNA,2018-11-26,43.34,45.38,42.45,45.07
CVNA,2018-11-27,45.72,47.62,45.16,46.03
CVNA,2018-11-28,46.46,47.6576,44.325,47.42
CVNA,2018-11-29,47.94,49.81,45.615,47.26
CVNA,2018-11-30,46.99,47.85,42.9,43.29
CVNA,2018-12-03,44.07,44.83,39.48,42.86
CVNA,2018-12-04,39.27,40.2399,37.94,38.4
CVNA,2018-12-06,36.71,38.58,36.31,38.58
CVNA,2018-12-07,38.79,39.04,34.28,35.71
CVNA,2018-12-10,35.17,36.39,33.4395,35.47
CVNA,2018-12-11,36.55,37.4,33.61,33.82
CVNA,2018-12-12,34.38,36.97,33.9877,35.76
CVNA,2018-12-13,35.84,36.92,33.44,33.54
CVNA,2018-12-14,33.0,33.855,31.82,32.15
CVNA,2018-12-17,31.41,34.14,30.65,32.77
CVNA,2018-12-18,33.23,34.955,32.95,34.75
CVNA,2018-12-19,34.7,35.84,32.06,32.56
CVNA,2018-12-20,33.24,33.9,29.5,31.4
CVNA,2018-12-21,31.09,31.36,28.44,29.84
CVNA,2018-12-24,29.59,32.31,28.93,30.81
CVNA,2018-12-26,30.82,34.1,30.3406,33.74
CVNA,2018-12-27,32.47,33.33,31.11,33.32
CVNA,2018-12-28,33.59,33.8218,31.53,31.79
CVNA,2018-12-31,32.3,33.65,31.72,32.71
CVNA,2019-01-02,31.68,33.34,30.76,32.26
CVNA,2019-01-03,31.75,31.86,28.77,30.19
CVNA,2019-01-04,31.22,32.26,30.39,30.78
CVNA,2019-01-07,31.06,34.84,30.8912,33.17
CVNA,2019-01-08,33.57,35.75,33.25,35.6
CVNA,2019-01-09,35.57,37.1199,34.6,34.97
CVNA,2019-01-10,34.5,34.5,32.58,34.15
CVNA,2019-01-11,34.02,36.965,33.6,36.8
CVNA,2019-01-14,34.55,35.5,33.59,35.5
CVNA,2019-01-15,35.05,35.78,34.04,35.56
CVNA,2019-01-16,35.94,37.4,35.1,35.37
CVNA,2019-01-17,35.21,36.44,34.78,35.81
CVNA,2019-01-18,36.22,37.27,36.16,36.91
CVNA,2019-01-22,36.66,36.98,34.38,35.65
CVNA,2019-01-23,35.87,37.14,35.495,37.04
CVNA,2019-01-24,37.23,39.07,37.13,38.4
CVNA,2019-01-25,38.66,40.58,38.4,39.8
CVNA,2019-01-28,39.3,39.95,38.3,39.71
CVNA,2019-01-29,39.41,39.65,37.0,37.06
CVNA,2019-01-30,37.26,38.12,36.6,37.31
CVNA,2019-01-31,37.31,38.75,36.9654,37.15
CVNA,2019-02-01,37.22,37.44,34.82,35.28
CVNA,2019-02-04,35.25,36.44,35.02,36.21
CVNA,2019-02-05,36.28,36.56,32.53,34.37
CVNA,2019-02-06,33.76,34.06,33.24,33.41
CVNA,2019-02-07,33.02,33.15,31.42,33.02
CVNA,2019-02-08,32.62,32.7548,31.56,32.18
CVNA,2019-02-11,32.31,32.7753,31.61,31.98
CVNA,2019-02-12,30.42,35.32,29.75,35.09
CVNA,2019-02-13,34.88,36.27,32.98,33.13
CVNA,2019-02-14,32.94,34.89,32.4206,34.3
CVNA,2019-02-15,34.16,35.81,34.16,35.35
CVNA,2019-02-19,35.43,37.91,35.43,36.73
CVNA,2019-02-20,37.0,38.0,35.82,36.14
CVNA,2019-02-21,36.2,36.53,34.31,34.77
CVNA,2019-02-22,34.73,38.09,34.73,38.0
CVNA,2019-02-25,38.24,39.73,37.837,38.49
CVNA,2019-02-26,38.39,40.67,38.1,40.5
CVNA,2019-02-27,40.19,43.4,39.14,41.82
CVNA,2019-02-28,45.07,45.96,41.16,44.86
CVNA,2019-03-01,45.09,45.5,43.4,43.62
CVNA,2019-03-04,43.57,44.36,40.91,42.07
CVNA,2019-03-05,42.69,48.54,42.01,47.98
CVNA,2019-03-06,47.94,51.47,47.4,50.6
CVNA,2019-03-07,50.01,52.6,48.63,49.48
CVNA,2019-03-08,48.73,50.52,48.27,49.6
CVNA,2019-03-11,49.86,53.46,49.86,52.14
CVNA,2019-03-12,53.05,56.39,51.52,53.1
CVNA,2019-03-13,53.69,58.48,53.37,55.97
CVNA,2019-03-14,55.18,56.22,54.61,55.8
CVNA,2019-03-15,55.78,56.95,55.28,56.68
CVNA,2019-03-18,56.83,58.61,54.53,56.86
CVNA,2019-03-19,57.62,59.0,57.3255,57.99
CVNA,2019-03-20,57.88,59.7777,56.77,57.97
CVNA,2019-03-21,58.0,58.95,57.1,57.99
CVNA,2019-03-22,58.27,58.27,54.41,55.62
CVNA,2019-03-25,55.37,57.25,54.81,56.34
CVNA,2019-03-26,57.5,59.6,57.08,57.99
CVNA,2019-03-27,58.0,59.095,56.63,58.15
CVNA,2019-03-28,58.5,59.0,56.46,57.85
CVNA,2019-03-29,57.89,58.59,57.41,58.06
CVNA,2019-04-01,58.74,59.92,57.64,58.94
CVNA,2019-04-02,58.94,63.66,58.21,62.82
CVNA,2019-04-03,61.5,63.66,60.01,62.0
CVNA,2019-04-04,62.06,63.0,59.035,59.94
CVNA,2019-04-05,60.13,61.05,57.9,60.51
CVNA,2019-04-08,60.32,60.61,58.05,58.8
CVNA,2019-04-09,58.26,60.91,58.2461,60.09
CVNA,2019-04-10,60.08,62.96,60.08,62.95
CVNA,2019-04-11,62.94,63.89,62.42,63.55
CVNA,2019-04-12,64.47,66.41,63.09,66.0
CVNA,2019-04-15,65.86,66.2364,62.34,64.38
